"fullname";"name";"vorname";"lastname";"firstname";"kanton_nummer";"liste_nummer_kanton";"district";"list"
"Abegglen Inge";"Abegglen";"Inge";NA;NA;20;"23";NA;NA
"Acrémann André Albert";"Acrémann";"André Albert";NA;NA;17;"11";NA;NA
"Aeberli Hans Werner (Aebi)";"Aeberli";"Hans Werner (Aebi)";NA;NA;1;"28";NA;NA
"Aebersold Sophie";"Aebersold";"Sophie";NA;NA;2;"28";NA;NA
"Affentranger-Aregger Helen";"Affentranger-Aregger";"Helen";NA;NA;3;"26";NA;NA
"Alami Fouad";"Alami";"Fouad";NA;NA;23;"7";NA;NA
"Albeverio Mielikki";"Albeverio";"Mielikki";NA;NA;3;"35";NA;NA
"Altorfer Namila (Cipolla)";"Altorfer";"Namila (Cipolla)";NA;NA;1;"17";NA;NA
"Ammann Urs";"Ammann";"Urs";NA;NA;19;"4f";NA;NA
"Amstad Andrea";"Amstad";"Andrea";NA;NA;2;"28";NA;NA
"Ananthan Theifyaah";"Ananthan";"Theifyaah";NA;NA;19;"2e";NA;NA
"Anderhub Josefine";"Anderhub";"Josefine";NA;NA;3;"30";NA;NA
"Andrey Philippe";"Andrey";"Philippe";NA;NA;22;"23";NA;NA
"Andrey Simon";"Andrey";"Simon";NA;NA;22;"5";NA;NA
"Aregger Viktoria";"Aregger";"Viktoria";NA;NA;3;"23";NA;NA
"Arnold-Herrmann Mirjam";"Arnold-Herrmann";"Mirjam";NA;NA;9;"7";NA;NA
"Arnold Markus";"Arnold";"Markus";NA;NA;3;"25";NA;NA
"Arregger Christoph";"Arregger";"Christoph";NA;NA;3;"30";NA;NA
"Arregger Max";"Arregger";"Max";NA;NA;3;"30";NA;NA
"Aufdenblatten Jonas";"Aufdenblatten";"Jonas";NA;NA;23;"22";NA;NA
"Aymon Paul";"Aymon";"Paul";NA;NA;25;"20";NA;NA
"Azzi Agovic Remo";"Azzi Agovic";"Remo";NA;NA;2;"28";NA;NA
"Bachmann Anja (Verdure)";"Bachmann";"Anja (Verdure)";NA;NA;1;"17";NA;NA
"Bachmann Ursula";"Bachmann";"Ursula";NA;NA;3;"17";NA;NA
"Baldinger François Ernest";"Baldinger";"François Ernest";NA;NA;22;"12";NA;NA
"Balmer Sascha";"Balmer";"Sascha";NA;NA;1;"7";NA;NA
"Banholzer Hänzi Lilian";"Banholzer Hänzi";"Lilian";NA;NA;1;"21";NA;NA
"Bärtschi Daniela";"Bärtschi";"Daniela";NA;NA;2;"3";NA;NA
"Basan Marvin (Carpaccio)";"Basan";"Marvin (Carpaccio)";NA;NA;1;"17";NA;NA
"Baudinot Geri";"Baudinot";"Geri";NA;NA;23;"37";NA;NA
"Baumann-Fässler Christina";"Baumann-Fässler";"Christina";NA;NA;5;"1";NA;NA
"Baumli Dillon (Al Dente)";"Baumli";"Dillon (Al Dente)";NA;NA;1;"17";NA;NA
"Bernasconi Claudia";"Bernasconi";"Claudia";NA;NA;3;"26";NA;NA
"Bernini Alexis";"Bernini";"Alexis";NA;NA;21;"17";NA;NA
"Betulius Lucy (Bruscetta)";"Betulius";"Lucy (Bruscetta)";NA;NA;1;"17";NA;NA
"Beuret Noemi";"Beuret";"Noemi";NA;NA;2;"34";NA;NA
"Bischofberger Victoria (Cannelloni)";"Bischofberger";"Victoria (Cannelloni)";NA;NA;1;"17";NA;NA
"Blanc Claire-May";"Blanc";"Claire-May";NA;NA;22;"5";NA;NA
"Blättler Daniela";"Blättler";"Daniela";NA;NA;3;"35";NA;NA
"Blättler Thomas";"Blättler";"Thomas";NA;NA;3;"34";NA;NA
"Bolok Simone (Salami)";"Bolok";"Simone (Salami)";NA;NA;1;"17";NA;NA
"Bolomey Pierre-Alain";"Bolomey";"Pierre-Alain";NA;NA;23;"7";NA;NA
"Born Kevin";"Born";"Kevin";NA;NA;2;"33";NA;NA
"Borner Michelle";"Borner";"Michelle";NA;NA;12;"6";NA;NA
"Bourquenoud Fabrice";"Bourquenoud";"Fabrice";NA;NA;10;"23";NA;NA
"Brandner Tobias";"Brandner";"Tobias";NA;NA;3;"35";NA;NA
"Brennenstuhl Philippe";"Brennenstuhl";"Philippe";NA;NA;22;"23";NA;NA
"Brönnimann Lara";"Brönnimann";"Lara";NA;NA;12;"6";NA;NA
"Bruggmann Renate";"Bruggmann";"Renate";NA;NA;20;"23";NA;NA
"Brunetti Armin";"Brunetti";"Armin";NA;NA;3;"7";NA;NA
"Bucheli Hanspeter";"Bucheli";"Hanspeter";NA;NA;3;"27";NA;NA
"Bucher Jo";"Bucher";"Jo";NA;NA;3;"32";NA;NA
"Bucher Kilian";"Bucher";"Kilian";NA;NA;3;"27";NA;NA
"Bucher Nadine";"Bucher";"Nadine";NA;NA;2;"34";NA;NA
"Budry Maryelle";"Budry";"Maryelle";NA;NA;25;"15";NA;NA
"Buholzer Walter";"Buholzer";"Walter";NA;NA;3;"34";NA;NA
"Bumann Maria";"Bumann";"Maria";NA;NA;12;"14";NA;NA
"Buntschu Corinne";"Buntschu";"Corinne";NA;NA;25;"28";NA;NA
"Burri Adrian";"Burri";"Adrian";NA;NA;2;"33";NA;NA
"Burri Lukas";"Burri";"Lukas";NA;NA;2;"33";NA;NA
"Burri Simon";"Burri";"Simon";NA;NA;2;"33";NA;NA
"Burri Walter";"Burri";"Walter";NA;NA;3;"30";NA;NA
"Capaul Armin";"Capaul";"Armin";NA;NA;2;"34";NA;NA
"Capaul Lilian";"Capaul";"Lilian";NA;NA;2;"34";NA;NA
"Cardon Léonie";"Cardon";"Léonie";NA;NA;22;"5";NA;NA
"Carta Roland";"Carta";"Roland";NA;NA;22;"23";NA;NA
"Chatton Angélique";"Chatton";"Angélique";NA;NA;22;"5";NA;NA
"Chatton Dominique";"Chatton";"Dominique";NA;NA;10;"24";NA;NA
"Coppey Régis";"Coppey";"Régis";NA;NA;22;"23";NA;NA
"Corabi De Marchi Luca Cesare";"Corabi De Marchi";"Luca Cesare";NA;NA;21;"17";NA;NA
"Costeggioli Orlando";"Costeggioli";"Orlando";NA;NA;13;"34";NA;NA
"Çukur Gökhan (Khan Deniz)";"Çukur";"Gökhan (Khan Deniz)";NA;NA;1;"15";NA;NA
"Curran-Steiner Barbara";"Curran-Steiner";"Barbara";NA;NA;3;"33";NA;NA
"Cutruzzola Francine";"Cutruzzola";"Francine";NA;NA;23;"7";NA;NA
"Definti Gian Franco";"Definti";"Gian Franco";NA;NA;21;"17";NA;NA
"Del Santo Gaia (Limone)";"Del Santo";"Gaia (Limone)";NA;NA;1;"17";NA;NA
"Deley Maeva";"Deley";"Maeva";NA;NA;22;"5";NA;NA
"Demay Alice";"Demay";"Alice";NA;NA;22;"5";NA;NA
"Deuber Ziegler Erica";"Deuber Ziegler";"Erica";NA;NA;25;"15";NA;NA
"Dschulnigg Susanne";"Dschulnigg";"Susanne";NA;NA;20;"23";NA;NA
"Duay Justine";"Duay";"Justine";NA;NA;22;"5";NA;NA
"Dupont Bruno";"Dupont";"Bruno";NA;NA;22;"12";NA;NA
"Dupont Michel";"Dupont";"Michel";NA;NA;22;"12";NA;NA
"Eggimann Kevin";"Eggimann";"Kevin";NA;NA;2;"33";NA;NA
"Egli Bruno";"Egli";"Bruno";NA;NA;17;"11";NA;NA
"El Maghari Mohammed";"El Maghari";"Mohammed";NA;NA;3;"11";NA;NA
"Epiney Pierre-Marie";"Epiney";"Pierre-Marie";NA;NA;23;"7";NA;NA
"Escher Sibylle";"Escher";"Sibylle";NA;NA;13;"34";NA;NA
"Facchinetti Zsola";"Facchinetti";"Zsola";NA;NA;19;"15";NA;NA
"Fasel Jean-Bernard";"Fasel";"Jean-Bernard";NA;NA;10;"25";NA;NA
"Faustinelli Stéphane";"Faustinelli";"Stéphane";NA;NA;23;"7";NA;NA
"Felber Caroline";"Felber";"Caroline";NA;NA;3;"32";NA;NA
"Fischer Alex";"Fischer";"Alex";NA;NA;3;"23";NA;NA
"Fischer Marius";"Fischer";"Marius";NA;NA;3;"24";NA;NA
"Fleischhacker Michael";"Fleischhacker";"Michael";NA;NA;2;"34";NA;NA
"Fleischmann Silence (Guacamole)";"Fleischmann";"Silence (Guacamole)";NA;NA;1;"17";NA;NA
"Folly Kilian";"Folly";"Kilian";NA;NA;22;"23";NA;NA
"Fossati Alberto";"Fossati";"Alberto";NA;NA;21;"17";NA;NA
"Frey Benjamin (Calzone)";"Frey";"Benjamin (Calzone)";NA;NA;1;"17";NA;NA
"Frey Daria (Gelati)";"Frey";"Daria (Gelati)";NA;NA;1;"17";NA;NA
"Frey Herbert";"Frey";"Herbert";NA;NA;3;"23";NA;NA
