fullname;name;vorname;lastname;firstname;kanton_nummer;liste_nummer_kanton;district;list
Eschmann Jonathan;NA;NA;Eschmann;Jonathan;NA;NA;Aargau;*JEVP
Stauffer Tabea;NA;NA;Stauffer;Tabea;NA;NA;Aargau;*JEVP
Camenisch Räto B.;NA;NA;Camenisch;Räto B.;NA;NA;Luzern;Aktive Senioren Luzern (SVP)
Lauper Erika;NA;NA;Lauper;Erika;NA;NA;Luzern;Aktive Senioren Luzern (SVP)
Leuzinger Thomas;NA;NA;Leuzinger;Thomas;NA;NA;Schaffhausen;AL Schaffhausen
Ender Kaplan Meggie;NA;NA;Ender Kaplan;Meggie;NA;NA;Zürich;AL-Alternative Liste
Gander Kathrin Anna;NA;NA;Gander;Kathrin Anna;NA;NA;Zürich;AL-Alternative Liste
Küng Julia;NA;NA;Küng;Julia;NA;NA;Zug;Alternative - die Grünen und CSP, Junge Alternative
Hofer Rita;NA;NA;Hofer;Rita;NA;NA;Zug;Alternative – die Grünen und CSP, landschaftliche Liste
Bétrisey Bonvin Claudia Murielle;NA;NA;Bétrisey Bonvin;Claudia Murielle;NA;NA;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste
Kuchler Noémie;NA;NA;Kuchler;Noémie;NA;NA;Wallis;Avenir Écologie libérale-radicale / Zukunft und Nachaltigkeit Freisinnigliberale
Jo Vergeat;NA;NA;Jo;Vergeat;NA;NA;Basel-Stadt;Bündnis BastA! Grüne JGB
Balmer-Bühler Sascha;NA;NA;Balmer-Bühler;Sascha;NA;NA;Zürich;Bürgerlich Demokratische Partei
Knöpfli Hansruedi;NA;NA;Knöpfli;Hansruedi;NA;NA;Zürich;Bürgerlich Demokratische Partei
Knöpfli Hansruedi;NA;NA;Knöpfli;Hansruedi;NA;NA;Zürich;Bürgerlich Demokratische Partei
Landolt Jonathan;NA;NA;Landolt;Jonathan;NA;NA;Zürich;Bürgerlich Demokratische Partei
Landolt Jonathan;NA;NA;Landolt;Jonathan;NA;NA;Zürich;Bürgerlich Demokratische Partei
Stahel Brigitta;NA;NA;Stahel;Brigitta;NA;NA;Zürich;Bürgerlich Demokratische Partei
Bühler Christine;NA;NA;Bühler;Christine;NA;NA;Bern;Bürgerlich Demokratische Partei, BDP
Eglli Heinz;NA;NA;Eglli;Heinz;NA;NA;Bern;Bürgerlich Demokratische Partei, BDP
Frutiger Ulrich;NA;NA;Frutiger;Ulrich;NA;NA;Bern;Bürgerlich Demokratische Partei, BDP
Gübeli-Grütter Charlotte;NA;NA;Gübeli-Grütter;Charlotte;NA;NA;Bern;Bürgerlich Demokratische Partei, BDP
Lüthi (Gartentor) Martin;NA;NA;Lüthi (Gartentor);Martin;NA;NA;Bern;Bürgerlich Demokratische Partei, BDP
Rappa Francesco Marco;NA;NA;Rappa;Francesco Marco;NA;NA;Bern;Bürgerlich Demokratische Partei, BDP
Moser Salomon;NA;NA;Moser;Salomon;NA;NA;Bern;Bürgerlich Demokratische Partei, JBDP
Muff Kai;NA;NA;Muff;Kai;NA;NA;Bern;Bürgerlich Demokratische Partei, JBDP
Huber Roland Alfred;NA;NA;Huber;Roland Alfred;NA;NA;Thurgau;Bürgerlich-demokratische Partei – Best Agers
Mettler Alfred;NA;NA;Mettler;Alfred;NA;NA;Thurgau;Bürgerlich-demokratische Partei – Best Agers
Riesen Thomas Markus;NA;NA;Riesen;Thomas Markus;NA;NA;Thurgau;Bürgerlich-demokratische Partei – Hauptliste
Schaefler Demet;NA;NA;Schaefler;Demet;NA;NA;St. Gallen;Bürgerlich-Demokratische Partei St. Gallen
Hess Annekäthi;NA;NA;Hess;Annekäthi;NA;NA;Aargau;BDP
Meisinger Esther;NA;NA;Meisinger;Esther;NA;NA;Basel-Landschaft;BDP Basel-Landschaft
Meisinger Esther;NA;NA;Meisinger;Esther;NA;NA;Basel-Landschaft;BDP Basel-Landschaft
Buchli Daniel Walter;NA;NA;Buchli;Daniel Walter;NA;NA;Graubünden;BDP Graubünden
Feseha Solomon;NA;NA;Feseha;Solomon;NA;NA;Solothurn;BDP Liste zwei
Hartmann-Fischli Madeleine;NA;NA;Hartmann-Fischli;Madeleine;NA;NA;Solothurn;BDP Liste zwei
Clerc Bérod Annick;NA;NA;Clerc Bérod;Annick;NA;NA;Wallis;Centre gauche-PCS / Gauche humaniste
Degen Iseli Andrea;NA;NA;Degen Iseli;Andrea;NA;NA;Zürich;Christlichsoziale Vereingigung CSV
Meister Kurt;NA;NA;Meister;Kurt;NA;NA;Zürich;Christlichsoziale Vereingigung CSV
Rensch Maria José;NA;NA;Rensch;Maria José;NA;NA;Zürich;Christlichsoziale Vereingigung CSV
Wibmer LL.M., Jeannette;NA;NA;Wibmer LL.M.,;Jeannette;NA;NA;Zürich;Christlichsoziale Vereingigung CSV
Widmer Alexander;NA;NA;Widmer;Alexander;NA;NA;Zürich;Christlichsoziale Vereingigung CSV
Widmer Andreas Martin;NA;NA;Widmer;Andreas Martin;NA;NA;Zürich;Christlichsoziale Vereingigung CSV
Zweifel Anton;NA;NA;Zweifel;Anton;NA;NA;Zürich;Christlichsoziale Vereingigung CSV
Jonas Aufdenblatten;NA;NA;Jonas;Aufdenblatten;NA;NA;Wallis;C-Parteien Junge CVPO
Schai Helen;NA;NA;Schai;Helen;NA;NA;Basel-Stadt;CVP 60+ Basel-Stadt
Humbel Näf Ruth;NA;NA;Humbel Näf;Ruth;NA;NA;Aargau;CVP Aargau Hauptliste
Baumann Christina;NA;NA;Baumann;Christina;NA;NA;Schwyz;CVP bürgerlich mit sozialer Verantwortung
Brenneis Manuela;NA;NA;Brenneis;Manuela;NA;NA;Basel-Stadt;CVP Basel-Stadt
Knellwolf Andrea Elisabeth;NA;NA;Knellwolf;Andrea Elisabeth;NA;NA;Basel-Stadt;CVP Basel-Stadt
Patierno Sandro;NA;NA;Patierno;Sandro;NA;NA;Schwyz;CVP Bauern und Gewerbe
Löhrer Sandra;NA;NA;Löhrer;Sandra;NA;NA;Bern;CVP Bern
Perella Patrick;NA;NA;Perella;Patrick;NA;NA;Bern;CVP Bern
Perina Alexandra;NA;NA;Perina;Alexandra;NA;NA;Bern;CVP Bern
Stöckli Simone;NA;NA;Stöckli;Simone;NA;NA;Bern;CVP Bern
Brignoli Lutz Francesca Maria Lucia;NA;NA;Brignoli Lutz;Francesca Maria Lucia;NA;NA;Zürich;CVP Frauen Zürich
Garcia Carolina;NA;NA;Garcia;Carolina;NA;NA;Zürich;CVP Frauen Zürich
Geser Karin;NA;NA;Geser;Karin;NA;NA;Zürich;CVP Frauen Zürich
Kenel-Paredi Olivia Anna;NA;NA;Kenel-Paredi;Olivia Anna;NA;NA;Zürich;CVP Frauen Zürich
Kupper Staub Vera Anna;NA;NA;Kupper Staub;Vera Anna;NA;NA;Zürich;CVP Frauen Zürich
Mabillard Corinne Andrea;NA;NA;Mabillard;Corinne Andrea;NA;NA;Zürich;CVP Frauen Zürich
Mändli-Lerch Karin;NA;NA;Mändli-Lerch;Karin;NA;NA;Zürich;CVP Frauen Zürich
Mariani Gabriela;NA;NA;Mariani;Gabriela;NA;NA;Zürich;CVP Frauen Zürich
Meli Hedwig;NA;NA;Meli;Hedwig;NA;NA;Zürich;CVP Frauen Zürich
Rutz Mätzler Theresia;NA;NA;Rutz Mätzler;Theresia;NA;NA;Zürich;CVP Frauen Zürich
Wendel Lucia Clara;NA;NA;Wendel;Lucia Clara;NA;NA;Zürich;CVP Frauen Zürich
Widmer Irene;NA;NA;Widmer;Irene;NA;NA;Zürich;CVP Frauen Zürich
Luzio Wieser Gianna;NA;NA;Luzio Wieser;Gianna;NA;NA;Graubünden;CVP Graubünden
Glanzmann Ida;NA;NA;Glanzmann;Ida;NA;NA;Luzern;CVP Luzern
Wismer Priska;NA;NA;Wismer;Priska;NA;NA;Luzern;CVP Luzern
Scholz Anja;NA;NA;Scholz;Anja;NA;NA;Thurgau;CVP Newcomer
Stadler-Kuster Sandra;NA;NA;Stadler-Kuster;Sandra;NA;NA;Thurgau;CVP Newcomer
Koch Susanne;NA;NA;Koch;Susanne;NA;NA;Solothurn;CVP Nord-Ost
Alder Frey Helene;NA;NA;Alder Frey;Helene;NA;NA;St. Gallen;CVP Nord-West
Sennhauser Josef;NA;NA;Sennhauser;Josef;NA;NA;St. Gallen;CVP Nord-West
Bregy Philipp;NA;NA;Bregy;Philipp;NA;NA;Wallis;CVP Oberwallis
Krempl Luzia;NA;NA;Krempl;Luzia;NA;NA;St. Gallen;CVP Süd-Ost
Mühlemann Tamara;NA;NA;Mühlemann;Tamara;NA;NA;Solothurn;CVP Süd-West
Theiler Thomas;NA;NA;Theiler;Thomas;NA;NA;Schaffhausen;CVP Schaffhausen KMU
Barandun Nicole;NA;NA;Barandun;Nicole;NA;NA;Zürich;CVP Zürich
Bernhardsgrütter Rebekka;NA;NA;Bernhardsgrütter;Rebekka;NA;NA;Zürich;CVP Zürich
Bienz Stefan;NA;NA;Bienz;Stefan;NA;NA;Zürich;CVP Zürich
Boesch Caroline;NA;NA;Boesch;Caroline;NA;NA;Zürich;CVP Zürich
Greter Aurel;NA;NA;Greter;Aurel;NA;NA;Zürich;CVP Zürich
Kunz Stefano;NA;NA;Kunz;Stefano;NA;NA;Zürich;CVP Zürich
Kuster Anwander Iris;NA;NA;Kuster Anwander;Iris;NA;NA;Zürich;CVP Zürich
Sigg Babette;NA;NA;Sigg;Babette;NA;NA;Zürich;CVP Zürich
Utiger Joel;NA;NA;Utiger;Joel;NA;NA;Zürich;CVP Zürich
Wiederkehr Josef;NA;NA;Wiederkehr;Josef;NA;NA;Zürich;CVP Zürich
Arnold Mirjam;NA;NA;Arnold;Mirjam;NA;NA;Zug;CVP Zug Frauen
Costa Ramona;NA;NA;Costa;Ramona;NA;NA;Aargau;CVP#1
Geissmann Julia;NA;NA;Geissmann;Julia;NA;NA;Aargau;CVP#1
Koller-Wiederkehr Béatrice;NA;NA;Koller-Wiederkehr;Béatrice;NA;NA;Aargau;CVP#1
Lòpez-Peduzzi Ilaria;NA;NA;Lòpez-Peduzzi;Ilaria;NA;NA;Aargau;CVP#1
Knüsel Christine;NA;NA;Knüsel;Christine;NA;NA;Aargau;CVP-AZ
Ammann-Bürgi Urs;NA;NA;Ammann-Bürgi;Urs;NA;NA;Aargau;CVP-BZ
Stutz David;NA;NA;Stutz;David;NA;NA;Aargau;CVP-BZ
Rüttimann-Krucker Niklaus;NA;NA;Rüttimann-Krucker;Niklaus;NA;NA;Aargau;CVP-CS
Bucher-Yurko Ivo;NA;NA;Bucher-Yurko;Ivo;NA;NA;Aargau;CVP-E
Burkhard-Ryser Urs;NA;NA;Burkhard-Ryser;Urs;NA;NA;Aargau;CVP-E
Scheidegger Fred;NA;NA;Scheidegger;Fred;NA;NA;Aargau;CVP-FA
Stenico Franziska;NA;NA;Stenico;Franziska;NA;NA;Aargau;CVP-FA
Wick Jacqueline;NA;NA;Wick;Jacqueline;NA;NA;Aargau;CVP-FA
Henzel Thomas;NA;NA;Henzel;Thomas;NA;NA;Aargau;CVP-FT
Steinacher Martin;NA;NA;Steinacher;Martin;NA;NA;Aargau;CVP-FT
Weiss-Winter Herbert;NA;NA;Weiss-Winter;Herbert;NA;NA;Aargau;CVP-FT
