firstname;lastname;gender;year_of_birth;age;zip;city;country;party_short;district;list;list_place_1;list_place_2;incumbent;LINK_personal_website;LINK_facebook;LINK_Twitter;LINK_Instagram;X;name_bfs;vorname_bfs
Raphael;Bühlmann;m;1992;27;5453;Remetschwil;Schweiz;EVP;Aargau;*JEVP;16;NA;0;NA;NA;NA;NA;NA;Bühlmann;Raphael
Lucas;Deubelbeiss;m;1996;23;5210;Windisch;Schweiz;EVP;Aargau;*JEVP;9;NA;0;NA;https://www.facebook.com/lucas.deubelbeiss;NA;https://www.instagram.com/luci_deubelbeiss/;NA;Deubelbeiss;Lucas
Salome;Dietiker;f;1994;25;5034;Suhr;Schweiz;EVP;Aargau;*JEVP;3;NA;0;NA;NA;NA;NA;NA;Dietiker;Salome
Deborah;Erhardt;f;1998;21;5200;Brugg;Schweiz;EVP;Aargau;*JEVP;11;NA;0;NA;https://www.facebook.com/deborah.erhardt.1;NA;NA;NA;Erhardt;Deborah
Jonathan;Eschmann;m;1990;29;5745;Safenwil;Schweiz;EVP;Aargau;*JEVP;1;NA;0;https://www.evp-ag.ch/aktuell/;https://www.facebook.com/jonathan.eschmann;NA;NA;NA;Eschmann;Jonny
Cynthia;Hofmann;f;2000;19;5727;Oberkulm;Schweiz;EVP;Aargau;*JEVP;12;NA;0;NA;NA;NA;NA;NA;Hofmann;Cynthia
Simon;Hostettler;m;1997;22;5112;Thalheim;Schweiz;EVP;Aargau;*JEVP;4;NA;0;NA;NA;NA;NA;NA;Hostettler;Simon
Bettina;Müller;f;1987;32;5079;Zeihen;Schweiz;EVP;Aargau;*JEVP;8;NA;0;NA;NA;NA;NA;NA;Müller;Bettina
Andrea;Maluck;f;1998;21;5200;Brugg;Schweiz;EVP;Aargau;*JEVP;15;NA;0;NA;NA;NA;NA;NA;Maluck;Andrea
Cyril;Meder;m;1992;27;4665;Oftringen;Schweiz;EVP;Aargau;*JEVP;6;NA;0;NA;https://www.facebook.com/cyril.meder;https://twitter.com/CyMarMed;https://www.instagram.com/cyrilouslyweird/;NA;Meder;Cyril
Petra;Meier;f;1987;32;5000;Aarau;Schweiz;EVP;Aargau;*JEVP;13;NA;0;NA;NA;NA;NA;NA;Meier;Petra
Joya;Süess;f;1996;23;5200;Brugg;Schweiz;EVP;Aargau;*JEVP;2;NA;0;NA;NA;NA;NA;NA;Süess;Joya
Sarah Marina;Stauffer;f;1998;21;5442;Fislisbach;Schweiz;EVP;Aargau;*JEVP;5;NA;0;NA;https://www.facebook.com/sarahmarina.stauffer;NA;NA;NA;Stauffer;Sarah Marina
Tabea;Stauffer;f;1999;20;5442;Wettingen;Schweiz;EVP;Aargau;*JEVP;10;NA;0;NA;NA;NA;NA;NA;Stauffer;Tabea Irina
Joël;Studer;m;1992;27;5033;Buchs;Schweiz;EVP;Aargau;*JEVP;7;NA;0;NA;NA;NA;NA;NA;Studer;Joël
Amani;Trevisan;f;2000;19;5210;Windisch;Schweiz;EVP;Aargau;*JEVP;14;NA;0;NA;NA;NA;NA;NA;Trevisan;Amani
